yoji,kanji,parts,yomi
悪漢無頼,悪,11,あっかんぶらい
悪漢無頼,漢,13,あっかんぶらい
悪漢無頼,無,12,あっかんぶらい
悪漢無頼,頼,16,あっかんぶらい
悪声狼藉,悪,11,あくせいろうぜき
悪声狼藉,声,7,あくせいろうぜき
悪声狼藉,狼,10,あくせいろうぜき
悪声狼藉,藉,17,あくせいろうぜき
暗箭傷人,暗,13,あんせんしょうじん
暗箭傷人,箭,15,あんせんしょうじん
暗箭傷人,傷,13,あんせんしょうじん
暗箭傷人,人,2,あんせんしょうじん
按図索驥,按,9,あんずさくき
按図索驥,図,7,あんずさくき
按図索驥,索,10,あんずさくき
按図索驥,驥,26,あんずさくき
晏子高節,晏,10,あんしのこうせつ
晏子高節,子,3,あんしのこうせつ
晏子高節,高,10,あんしのこうせつ
晏子高節,節,13,あんしのこうせつ
暗香疎影,暗,13,あんこうそえい
暗香疎影,香,9,あんこうそえい
暗香疎影,疎,12,あんこうそえい
暗香疎影,影,15,あんこうそえい
按甲休兵,按,9,あんこうきゅうへい
按甲休兵,甲,5,あんこうきゅうへい
按甲休兵,休,6,あんこうきゅうへい
按甲休兵,兵,7,あんこうきゅうへい
安居危思,安,6,あんきょきし
安居危思,居,8,あんきょきし
安居危思,危,6,あんきょきし
安居危思,思,9,あんきょきし
晏嬰狐裘,晏,10,あんえい（の）こきゅう
晏嬰狐裘,嬰,17,あんえい（の）こきゅう
晏嬰狐裘,狐,9,あんえい（の）こきゅう
晏嬰狐裘,裘,13,あんえい（の）こきゅう
阿轆轆地,阿,8,あろくろくじ
阿轆轆地,轆,18,あろくろくじ
阿轆轆地,轆,18,あろくろくじ
阿轆轆地,地,6,あろくろくじ
阿諛傾奪,阿,8,あゆけいだつ
阿諛傾奪,諛,15,あゆけいだつ
阿諛傾奪,傾,13,あゆけいだつ
阿諛傾奪,奪,14,あゆけいだつ
阿爺下頷,阿,8,あやあがん
阿爺下頷,爺,13,あやあがん
阿爺下頷,下,3,あやあがん
阿爺下頷,頷,16,あやあがん
遏悪揚善,遏,13,あつあくようぜん
遏悪揚善,悪,11,あつあくようぜん
遏悪揚善,揚,12,あつあくようぜん
遏悪揚善,善,12,あつあくようぜん
可惜身命,可,5,あたらしんみょう
可惜身命,惜,11,あたらしんみょう
可惜身命,身,7,あたらしんみょう
可惜身命,命,8,あたらしんみょう
浅瀬仇波,浅,9,あさせあだなみ
浅瀬仇波,瀬,19,あさせあだなみ
浅瀬仇波,仇,4,あさせあだなみ
浅瀬仇波,波,8,あさせあだなみ
哀鳴啾啾,哀,9,あいめいしゅうしゅう
哀鳴啾啾,鳴,14,あいめいしゅうしゅう
哀鳴啾啾,啾,12,あいめいしゅうしゅう
哀鳴啾啾,啾,12,あいめいしゅうしゅう
哀糸豪竹,哀,9,あいしごうちく
哀糸豪竹,糸,6,あいしごうちく
哀糸豪竹,豪,14,あいしごうちく
哀糸豪竹,竹,6,あいしごうちく
哀鴻遍野,哀,9,あいこうへんや
哀鴻遍野,鴻,17,あいこうへんや
哀鴻遍野,遍,12,あいこうへんや
哀鴻遍野,野,11,あいこうへんや
阿諛便佞,阿,8,あゆべんねい
阿諛便佞,諛,15,あゆべんねい
阿諛便佞,便,9,あゆべんねい
阿諛便佞,佞,7,あゆべんねい
暗雲低迷,暗,13,あんうんていめい
暗雲低迷,雲,12,あんうんていめい
暗雲低迷,低,7,あんうんていめい
暗雲低迷,迷,9,あんうんていめい
安居楽業,安,6,あんきょらくぎょう
安居楽業,居,8,あんきょらくぎょう
安居楽業,楽,13,あんきょらくぎょう
安居楽業,業,13,あんきょらくぎょう
安歩当車,安,6,あんぽとうしゃ
安歩当車,歩,8,あんぽとうしゃ
安歩当車,当,6,あんぽとうしゃ
安歩当車,車,7,あんぽとうしゃ
安如泰山,安,6,あんにょたいざん
安如泰山,如,6,あんにょたいざん
安如泰山,泰,10,あんにょたいざん
安如泰山,山,3,あんにょたいざん
暗渡陳倉,暗,13,あんとちんそう
暗渡陳倉,渡,12,あんとちんそう
暗渡陳倉,陳,11,あんとちんそう
暗渡陳倉,倉,10,あんとちんそう
安常処順,安,6,あんじょうしょじゅん
安常処順,常,11,あんじょうしょじゅん
安常処順,処,5,あんじょうしょじゅん
安常処順,順,12,あんじょうしょじゅん
暗黒沈静,暗,13,あんこくちんせい
暗黒沈静,黒,11,あんこくちんせい
暗黒沈静,沈,7,あんこくちんせい
暗黒沈静,静,14,あんこくちんせい
暗香浮動,暗,13,あんこうふどう
暗香浮動,香,9,あんこうふどう
暗香浮動,浮,10,あんこうふどう
暗香浮動,動,11,あんこうふどう
鴉巣生鳳,鴉,15,あそうせいほう
鴉巣生鳳,巣,11,あそうせいほう
鴉巣生鳳,生,5,あそうせいほう
鴉巣生鳳,鳳,14,あそうせいほう
愛楊葉児,愛,13,あいようように
愛楊葉児,楊,13,あいようように
愛楊葉児,葉,12,あいようように
愛楊葉児,児,7,あいようように
安土重遷,安,6,あんどじゅうせん
安土重遷,土,3,あんどじゅうせん
安土重遷,重,9,あんどじゅうせん
安土重遷,遷,15,あんどじゅうせん
安分守己,安,6,あんぶんしゅき
安分守己,分,4,あんぶんしゅき
安分守己,守,6,あんぶんしゅき
安分守己,己,3,あんぶんしゅき
暗香蓊葧,暗,13,あんこうおうぼつ
暗香蓊葧,香,9,あんこうおうぼつ
暗香蓊葧,蓊,13,あんこうおうぼつ
暗香蓊葧,葧,12,あんこうおうぼつ
安閑恬静,安,6,あんかんてんせい
安閑恬静,閑,12,あんかんてんせい
安閑恬静,恬,9,あんかんてんせい
安閑恬静,静,14,あんかんてんせい
阿衡之佐,阿,8,あこうのさ
阿衡之佐,衡,16,あこうのさ
阿衡之佐,之,3,あこうのさ
阿衡之佐,佐,7,あこうのさ
愛屋及烏,愛,13,あいおくきゅうう
愛屋及烏,屋,9,あいおくきゅうう
愛屋及烏,及,3,あいおくきゅうう
愛屋及烏,烏,10,あいおくきゅうう
愛及屋烏,愛,13,あいきゅうおくう
愛及屋烏,及,3,あいきゅうおくう
愛及屋烏,屋,9,あいきゅうおくう
愛及屋烏,烏,10,あいきゅうおくう
哀毀骨立,哀,9,あいきこつりつ
哀毀骨立,毀,13,あいきこつりつ
哀毀骨立,骨,10,あいきこつりつ
哀毀骨立,立,5,あいきこつりつ
安楽浄土,安,6,あんらくじょうど
安楽浄土,楽,13,あんらくじょうど
安楽浄土,浄,9,あんらくじょうど
安楽浄土,土,3,あんらくじょうど
哀矜懲創,哀,9,あいきょうちょうそう
哀矜懲創,矜,9,あいきょうちょうそう
哀矜懲創,懲,18,あいきょうちょうそう
哀矜懲創,創,12,あいきょうちょうそう
愛月撤灯,愛,13,あいげつてっとう
愛月撤灯,月,4,あいげつてっとう
愛月撤灯,撤,15,あいげつてっとう
愛月撤灯,灯,6,あいげつてっとう
按図索駿,按,9,あんずさくしゅん
按図索駿,図,7,あんずさくしゅん
按図索駿,索,10,あんずさくしゅん
按図索駿,駿,17,あんずさくしゅん
按部就班,按,9,あんぶしゅうはん
按部就班,部,11,あんぶしゅうはん
按部就班,就,12,あんぶしゅうはん
按部就班,班,10,あんぶしゅうはん
悪婦破家,悪,11,あくふはか
悪婦破家,婦,11,あくふはか
悪婦破家,破,10,あくふはか
悪婦破家,家,10,あくふはか
安心立命,安,6,あんしんりつめい
安心立命,心,4,あんしんりつめい
安心立命,立,5,あんしんりつめい
安心立命,命,8,あんしんりつめい
相碁井目,相,9,あいごせいもく
相碁井目,碁,13,あいごせいもく
相碁井目,井,4,あいごせいもく
相碁井目,目,5,あいごせいもく
愛執染着,愛,13,あいしゅうぜんちゃく
愛執染着,執,11,あいしゅうぜんちゃく
愛執染着,染,9,あいしゅうぜんちゃく
愛執染着,着,12,あいしゅうぜんちゃく
阿諛追従,阿,8,あゆついしょう
阿諛追従,諛,15,あゆついしょう
阿諛追従,追,9,あゆついしょう
阿諛追従,従,10,あゆついしょう
阿諛迎合,阿,8,あゆげいごう
阿諛迎合,諛,15,あゆげいごう
阿諛迎合,迎,7,あゆげいごう
阿諛迎合,合,6,あゆげいごう
蛙鳴蝉噪,蛙,12,あめいせんそう
蛙鳴蝉噪,鳴,14,あめいせんそう
蛙鳴蝉噪,蝉,15,あめいせんそう
蛙鳴蝉噪,噪,16,あめいせんそう
阿附迎合,阿,8,あふげいごう
阿附迎合,附,8,あふげいごう
阿附迎合,迎,7,あふげいごう
阿附迎合,合,6,あふげいごう
阿鼻地獄,阿,8,あびじごく
阿鼻地獄,鼻,14,あびじごく
阿鼻地獄,地,6,あびじごく
阿鼻地獄,獄,14,あびじごく
阿鼻叫喚,阿,8,あびきょうかん
阿鼻叫喚,鼻,14,あびきょうかん
阿鼻叫喚,叫,6,あびきょうかん
阿鼻叫喚,喚,12,あびきょうかん
悪鬼羅刹,悪,11,あっきらせつ
悪鬼羅刹,鬼,10,あっきらせつ
悪鬼羅刹,羅,19,あっきらせつ
悪鬼羅刹,刹,8,あっきらせつ
按兵不動,按,9,あんぺいふどう
按兵不動,兵,7,あんぺいふどう
按兵不動,不,4,あんぺいふどう
按兵不動,動,11,あんぺいふどう
合縁奇縁,合,6,あいえんきえん
合縁奇縁,縁,15,あいえんきえん
合縁奇縁,奇,8,あいえんきえん
合縁奇縁,縁,15,あいえんきえん
愛多憎生,愛,13,あいたぞうせい
愛多憎生,多,6,あいたぞうせい
愛多憎生,憎,14,あいたぞうせい
愛多憎生,生,5,あいたぞうせい
阿世曲学,阿,8,あせいきょくがく
阿世曲学,世,5,あせいきょくがく
阿世曲学,曲,6,あせいきょくがく
阿世曲学,学,8,あせいきょくがく
唖然失笑,唖,10,あぜんしっしょう
唖然失笑,然,12,あぜんしっしょう
唖然失笑,失,5,あぜんしっしょう
唖然失笑,笑,10,あぜんしっしょう
鴉雀無声,鴉,15,あじゃくむせい
鴉雀無声,雀,11,あじゃくむせい
鴉雀無声,無,12,あじゃくむせい
鴉雀無声,声,7,あじゃくむせい
安寧秩序,安,6,あんねいちつじょ
安寧秩序,寧,14,あんねいちつじょ
安寧秩序,秩,10,あんねいちつじょ
安寧秩序,序,7,あんねいちつじょ
安穏無事,安,6,あんのんぶじ
安穏無事,穏,16,あんのんぶじ
安穏無事,無,12,あんのんぶじ
安穏無事,事,8,あんのんぶじ
安車蒲輪,安,6,あんしゃほりん
安車蒲輪,車,7,あんしゃほりん
安車蒲輪,蒲,13,あんしゃほりん
安車蒲輪,輪,15,あんしゃほりん
晏子之御,晏,10,あんしのぎょ
晏子之御,子,3,あんしのぎょ
晏子之御,之,3,あんしのぎょ
晏子之御,御,12,あんしのぎょ
黯然銷魂,黯,21,あんぜんしょうこん
黯然銷魂,然,12,あんぜんしょうこん
黯然銷魂,銷,15,あんぜんしょうこん
黯然銷魂,魂,14,あんぜんしょうこん
暗送秋波,暗,13,あんそうしゅうは
暗送秋波,送,9,あんそうしゅうは
暗送秋波,秋,9,あんそうしゅうは
暗送秋波,波,8,あんそうしゅうは
阿修羅道,阿,8,あしゅらどう
阿修羅道,修,10,あしゅらどう
阿修羅道,羅,19,あしゅらどう
阿修羅道,道,12,あしゅらどう
悪魔調伏,悪,11,あくまちょうぶく
悪魔調伏,魔,21,あくまちょうぶく
悪魔調伏,調,15,あくまちょうぶく
悪魔調伏,伏,6,あくまちょうぶく
安宅正路,安,6,あんたくせいろ
安宅正路,宅,6,あんたくせいろ
安宅正路,正,5,あんたくせいろ
安宅正路,路,13,あんたくせいろ
暗澹冥濛,暗,13,あんたんめいもう
暗澹冥濛,澹,16,あんたんめいもう
暗澹冥濛,冥,10,あんたんめいもう
暗澹冥濛,濛,16,あんたんめいもう
暗中飛躍,暗,13,あんちゅうひやく
暗中飛躍,中,4,あんちゅうひやく
暗中飛躍,飛,9,あんちゅうひやく
暗中飛躍,躍,21,あんちゅうひやく
暗闘反目,暗,13,あんとうはんもく
暗闘反目,闘,18,あんとうはんもく
暗闘反目,反,4,あんとうはんもく
暗闘反目,目,5,あんとうはんもく
哀悼痛惜,哀,9,あいとうつうせき
哀悼痛惜,悼,11,あいとうつうせき
哀悼痛惜,痛,12,あいとうつうせき
哀悼痛惜,惜,11,あいとうつうせき
愛別離苦,愛,13,あいべつりく
愛別離苦,別,7,あいべつりく
愛別離苦,離,18,あいべつりく
愛別離苦,苦,8,あいべつりく
悪木盗泉,悪,11,あくぼくとうせん
悪木盗泉,木,4,あくぼくとうせん
悪木盗泉,盗,11,あくぼくとうせん
悪木盗泉,泉,9,あくぼくとうせん
握髪吐哺,握,12,あくはつとほ
握髪吐哺,髪,14,あくはつとほ
握髪吐哺,吐,6,あくはつとほ
握髪吐哺,哺,10,あくはつとほ
悪人正機,悪,11,あくにんしょうき
悪人正機,人,2,あくにんしょうき
悪人正機,正,5,あくにんしょうき
悪人正機,機,16,あくにんしょうき
悪酔強酒,悪,11,あくすいきょうしゅ
悪酔強酒,酔,11,あくすいきょうしゅ
悪酔強酒,強,11,あくすいきょうしゅ
悪酔強酒,酒,10,あくすいきょうしゅ
曖昧模糊,曖,17,あいまいもこ
曖昧模糊,昧,9,あいまいもこ
曖昧模糊,模,14,あいまいもこ
曖昧模糊,糊,15,あいまいもこ
阿吽二字,阿,8,あうんにじ
阿吽二字,吽,7,あうんにじ
阿吽二字,二,2,あうんにじ
阿吽二字,字,6,あうんにじ
青息吐息,青,8,あおいきといき
青息吐息,息,10,あおいきといき
青息吐息,吐,6,あおいきといき
青息吐息,息,10,あおいきといき
悪衣悪食,悪,11,あくいあくしょく
悪衣悪食,衣,6,あくいあくしょく
悪衣悪食,悪,11,あくいあくしょく
悪衣悪食,食,9,あくいあくしょく
哀哀父母,哀,9,あいあいふぼ
哀哀父母,哀,9,あいあいふぼ
哀哀父母,父,4,あいあいふぼ
哀哀父母,母,5,あいあいふぼ
悪事千里,悪,11,あくじせんり
悪事千里,事,8,あくじせんり
悪事千里,千,3,あくじせんり
悪事千里,里,7,あくじせんり
悪逆非道,悪,11,あくぎゃくひどう
悪逆非道,逆,9,あくぎゃくひどう
悪逆非道,非,8,あくぎゃくひどう
悪逆非道,道,12,あくぎゃくひどう
悪逆無道,悪,11,あくぎゃくむどう
悪逆無道,逆,9,あくぎゃくむどう
悪逆無道,無,12,あくぎゃくむどう
悪逆無道,道,12,あくぎゃくむどう
悪因悪果,悪,11,あくいんあっか
悪因悪果,因,6,あくいんあっか
悪因悪果,悪,11,あくいんあっか
悪因悪果,果,8,あくいんあっか
暗中模索,暗,13,あんちゅうもさく
暗中模索,中,4,あんちゅうもさく
暗中模索,模,14,あんちゅうもさく
暗中模索,索,10,あんちゅうもさく
悪口雑言,悪,11,あっこうぞうごん
悪口雑言,口,3,あっこうぞうごん
悪口雑言,雑,14,あっこうぞうごん
悪口雑言,言,7,あっこうぞうごん
悪戦苦闘,悪,11,あくせんくとう
悪戦苦闘,戦,13,あくせんくとう
悪戦苦闘,苦,8,あくせんくとう
悪戦苦闘,闘,18,あくせんくとう
韻鏡十年,韻,19,いんきょうじゅうねん
韻鏡十年,鏡,19,いんきょうじゅうねん
韻鏡十年,十,2,いんきょうじゅうねん
韻鏡十年,年,6,いんきょうじゅうねん
陰徳恩賜,陰,11,いんとくおんし
陰徳恩賜,徳,14,いんとくおんし
陰徳恩賜,恩,10,いんとくおんし
陰徳恩賜,賜,15,いんとくおんし
引錐刺股,引,4,いんすいしこ
引錐刺股,錐,16,いんすいしこ
引錐刺股,刺,8,いんすいしこ
引錐刺股,股,8,いんすいしこ
一往直前,一,1,いちおうちょくぜん
一往直前,往,8,いちおうちょくぜん
一往直前,直,8,いちおうちょくぜん
一往直前,前,9,いちおうちょくぜん
以鼠為璞,以,5,いそいはいく
以鼠為璞,鼠,13,いそいはいく
以鼠為璞,為,9,いそいはいく
以鼠為璞,璞,16,いそいはいく
因果関係,因,6,いんがかんけい
因果関係,果,8,いんがかんけい
因果関係,関,14,いんがかんけい
因果関係,係,9,いんがかんけい
威風堂堂,威,9,いふうどうどう
威風堂堂,風,9,いふうどうどう
威風堂堂,堂,11,いふうどうどう
威風堂堂,堂,11,いふうどうどう
一日一善,一,1,いちにちいちぜん
一日一善,日,4,いちにちいちぜん
一日一善,一,1,いちにちいちぜん
一日一善,善,12,いちにちいちぜん
一路邁進,一,1,いちろまいしん
一路邁進,路,13,いちろまいしん
一路邁進,邁,16,いちろまいしん
一路邁進,進,11,いちろまいしん
允文允武,允,4,いんぶんいんぶ
允文允武,文,4,いんぶんいんぶ
允文允武,允,4,いんぶんいんぶ
允文允武,武,8,いんぶんいんぶ
飲鴆止渇,飲,12,いんちんしかつ
飲鴆止渇,鴆,15,いんちんしかつ
飲鴆止渇,止,4,いんちんしかつ
飲鴆止渇,渇,11,いんちんしかつ
引縄批根,引,4,いんじょうへいこん
引縄批根,縄,15,いんじょうへいこん
引縄批根,批,7,いんじょうへいこん
引縄批根,根,10,いんじょうへいこん
印象批評,印,6,いんしょうひひょう
印象批評,象,12,いんしょうひひょう
印象批評,批,7,いんしょうひひょう
印象批評,評,12,いんしょうひひょう
飲至策勲,飲,12,いんしさっくん
飲至策勲,至,6,いんしさっくん
飲至策勲,策,12,いんしさっくん
飲至策勲,勲,15,いんしさっくん
異類無礙,異,11,いるいむげ
異類無礙,類,18,いるいむげ
異類無礙,無,12,いるいむげ
異類無礙,礙,19,いるいむげ
衣履弊穿,衣,6,いりへいせん
衣履弊穿,履,15,いりへいせん
衣履弊穿,弊,15,いりへいせん
衣履弊穿,穿,9,いりへいせん
渭浜漁父,渭,12,いひんのぎょほ
渭浜漁父,浜,10,いひんのぎょほ
渭浜漁父,漁,14,いひんのぎょほ
渭浜漁父,父,4,いひんのぎょほ
倚馬七紙,倚,10,いばしちし
倚馬七紙,馬,10,いばしちし
倚馬七紙,七,2,いばしちし
倚馬七紙,紙,10,いばしちし
猗頓之富,猗,11,いとんのとみ
猗頓之富,頓,13,いとんのとみ
猗頓之富,之,3,いとんのとみ
猗頓之富,富,12,いとんのとみ
意到筆随,意,13,いとうひつずい
意到筆随,到,8,いとうひつずい
意到筆随,筆,12,いとうひつずい
意到筆随,随,12,いとうひつずい
乙夜之覧,乙,1,いつやのらん
乙夜之覧,夜,8,いつやのらん
乙夜之覧,之,3,いつやのらん
乙夜之覧,覧,17,いつやのらん
鷸蚌之争,鷸,23,いつぼうのあらそい
鷸蚌之争,蚌,10,いつぼうのあらそい
鷸蚌之争,之,3,いつぼうのあらそい
鷸蚌之争,争,6,いつぼうのあらそい
一瓢一箪,一,1,いっぴょういったん
一瓢一箪,瓢,17,いっぴょういったん
一瓢一箪,一,1,いっぴょういったん
一瓢一箪,箪,15,いっぴょういったん
一筆勾消,一,1,いっぴつこうしょう
一筆勾消,筆,12,いっぴつこうしょう
一筆勾消,勾,4,いっぴつこうしょう
一筆勾消,消,10,いっぴつこうしょう
一髪千鈞,一,1,いっぱつせんきん
一髪千鈞,髪,14,いっぱつせんきん
一髪千鈞,千,3,いっぱつせんきん
一髪千鈞,鈞,12,いっぱつせんきん
一登竜門,一,1,いっとりゅうもん
一登竜門,登,12,いっとりゅうもん
一登竜門,竜,10,いっとりゅうもん
一登竜門,門,8,いっとりゅうもん
一徳一心,一,1,いっとくいっしん
一徳一心,徳,14,いっとくいっしん
一徳一心,一,1,いっとくいっしん
一徳一心,心,4,いっとくいっしん
一朝之患,一,1,いっちょうのうれい
一朝之患,朝,12,いっちょうのうれい
一朝之患,之,3,いっちょうのうれい
一朝之患,患,11,いっちょうのうれい
一朝之忿,一,1,いっちょうのいかり
一朝之忿,朝,12,いっちょうのいかり
一朝之忿,之,3,いっちょうのいかり
一朝之忿,忿,8,いっちょうのいかり
一治一乱,一,1,いっちいちらん
一治一乱,治,8,いっちいちらん
一治一乱,一,1,いっちいちらん
一治一乱,乱,7,いっちいちらん
一短一長,一,1,いったんいっちょう
一短一長,短,12,いったんいっちょう
一短一長,一,1,いったんいっちょう
一短一長,長,8,いったんいっちょう
一措一画,一,1,いっそいっかく
一措一画,措,11,いっそいっかく
一措一画,一,1,いっそいっかく
一措一画,画,8,いっそいっかく
一箭双雕,一,1,いっせんそうちょう
一箭双雕,箭,15,いっせんそうちょう
一箭双雕,双,4,いっせんそうちょう
一箭双雕,雕,16,いっせんそうちょう
一銭一厘,一,1,いっせんいちりん
一銭一厘,銭,14,いっせんいちりん
一銭一厘,一,1,いっせんいちりん
一銭一厘,厘,9,いっせんいちりん
一世木鐸,一,1,いっせいぼくたく
一世木鐸,世,5,いっせいぼくたく
一世木鐸,木,4,いっせいぼくたく
一世木鐸,鐸,21,いっせいぼくたく
一世風靡,一,1,いっせいふうび
一世風靡,世,5,いっせいふうび
一世風靡,風,9,いっせいふうび
一世風靡,靡,19,いっせいふうび
一世之雄,一,1,いっせいのゆう
一世之雄,世,5,いっせいのゆう
一世之雄,之,3,いっせいのゆう
一世之雄,雄,12,いっせいのゆう
一炊之夢,一,1,いっすいのゆめ
一炊之夢,炊,8,いっすいのゆめ
一炊之夢,之,3,いっすいのゆめ
一炊之夢,夢,13,いっすいのゆめ
一水盈盈,一,1,いっすいえいえい
一水盈盈,水,4,いっすいえいえい
一水盈盈,盈,9,いっすいえいえい
一水盈盈,盈,9,いっすいえいえい
一心発起,一,1,いっしんほっき
一心発起,心,4,いっしんほっき
一心発起,発,9,いっしんほっき
一心発起,起,10,いっしんほっき
一心一徳,一,1,いっしんいっとく
一心一徳,心,4,いっしんいっとく
一心一徳,一,1,いっしんいっとく
一心一徳,徳,14,いっしんいっとく
一将万骨,一,1,いっしょうばんこつ
一将万骨,将,10,いっしょうばんこつ
一将万骨,万,3,いっしょうばんこつ
一将万骨,骨,10,いっしょうばんこつ
一笑千金,一,1,いっしょうせんきん
一笑千金,笑,10,いっしょうせんきん
一笑千金,千,3,いっしょうせんきん
一笑千金,金,8,いっしょうせんきん
一種一瓶,一,1,いっしゅいっぺい
一種一瓶,種,14,いっしゅいっぺい
一種一瓶,一,1,いっしゅいっぺい
一種一瓶,瓶,11,いっしゅいっぺい
一紙半銭,一,1,いっしはんせん
一紙半銭,紙,10,いっしはんせん
一紙半銭,半,5,いっしはんせん
一紙半銭,銭,14,いっしはんせん
一士諤諤,一,1,いっしがくがく
一士諤諤,士,3,いっしがくがく
一士諤諤,諤,16,いっしがくがく
一士諤諤,諤,16,いっしがくがく
一糸一毫,一,1,いっしいちごう
一糸一毫,糸,6,いっしいちごう
一糸一毫,一,1,いっしいちごう
一糸一毫,毫,11,いっしいちごう
一切有情,一,1,いっさいうじょう
一切有情,切,4,いっさいうじょう
一切有情,有,6,いっさいうじょう
一切有情,情,11,いっさいうじょう
一狐之腋,一,1,いっこのえき
一狐之腋,狐,9,いっこのえき
一狐之腋,之,3,いっこのえき
一狐之腋,腋,12,いっこのえき
一壺千金,一,1,いっこせんきん
一壺千金,壺,12,いっこせんきん
一壺千金,千,3,いっこせんきん
一壺千金,金,8,いっこせんきん
一顧傾城,一,1,いっこけいせい
一顧傾城,顧,21,いっこけいせい
一顧傾城,傾,13,いっこけいせい
一顧傾城,城,9,いっこけいせい
一闔一闢,一,1,いっこういちびゃく
一闔一闢,闔,18,いっこういちびゃく
一闔一闢,一,1,いっこういちびゃく
一闔一闢,闢,21,いっこういちびゃく
一蹶不振,一,1,いっけつふしん
一蹶不振,蹶,19,いっけつふしん
一蹶不振,不,4,いっけつふしん
一蹶不振,振,10,いっけつふしん
一薫一蕕,一,1,いっくんいちゆう
一薫一蕕,薫,16,いっくんいちゆう
一薫一蕕,一,1,いっくんいちゆう
一薫一蕕,蕕,15,いっくんいちゆう
一琴一鶴,一,1,いっきんいっかく
一琴一鶴,琴,12,いっきんいっかく
一琴一鶴,一,1,いっきんいっかく
一琴一鶴,鶴,21,いっきんいっかく
一虚一実,一,1,いっきょいちじつ
一虚一実,虚,11,いっきょいちじつ
一虚一実,一,1,いっきょいちじつ
一虚一実,実,8,いっきょいちじつ
一丘之貉,一,1,いっきゅうのかく
一丘之貉,丘,5,いっきゅうのかく
一丘之貉,之,3,いっきゅうのかく
一丘之貉,貉,13,いっきゅうのかく
一裘一葛,一,1,いっきゅういっかつ
一裘一葛,裘,13,いっきゅういっかつ
一裘一葛,一,1,いっきゅういっかつ
一裘一葛,葛,12,いっきゅういっかつ
一丘一壑,一,1,いっきゅういちがく
一丘一壑,丘,5,いっきゅういちがく
一丘一壑,一,1,いっきゅういちがく
一丘一壑,壑,17,いっきゅういちがく
一簣之功,一,1,いっきのこう
一簣之功,簣,18,いっきのこう
一簣之功,之,3,いっきのこう
一簣之功,功,5,いっきのこう
一割之利,一,1,いっかつのり
一割之利,割,12,いっかつのり
一割之利,之,3,いっかつのり
一割之利,利,7,いっかつのり
一縷千鈞,一,1,いちるせんきん
一縷千鈞,縷,17,いちるせんきん
一縷千鈞,千,3,いちるせんきん
一縷千鈞,鈞,12,いちるせんきん
一了百了,一,1,いちりょうひゃくりょう
一了百了,了,2,いちりょうひゃくりょう
一了百了,百,6,いちりょうひゃくりょう
一了百了,了,2,いちりょうひゃくりょう
一竜一猪,一,1,いちりょういっちょ
一竜一猪,竜,10,いちりょういっちょ
一竜一猪,一,1,いちりょういっちょ
一竜一猪,猪,11,いちりょういっちょ
一遊一予,一,1,いちゆういちよ
一遊一予,遊,12,いちゆういちよ
一遊一予,一,1,いちゆういちよ
一遊一予,予,4,いちゆういちよ
一夜検校,一,1,いちやけんぎょう
一夜検校,夜,8,いちやけんぎょう
一夜検校,検,12,いちやけんぎょう
一夜検校,校,10,いちやけんぎょう
一文不通,一,1,いちもんふつう
一文不通,文,4,いちもんふつう
一文不通,不,4,いちもんふつう
一文不通,通,10,いちもんふつう
一問一答,一,1,いちもんいっとう
一問一答,問,11,いちもんいっとう
一問一答,一,1,いちもんいっとう
一問一答,答,12,いちもんいっとう
一望千頃,一,1,いちぼうせんけい
一望千頃,望,11,いちぼうせんけい
一望千頃,千,3,いちぼうせんけい
一望千頃,頃,11,いちぼうせんけい
一人当千,一,1,いちにちとうせん
一人当千,人,2,いちにちとうせん
一人当千,当,6,いちにちとうせん
一人当千,千,3,いちにちとうせん
一日不食,一,1,いちにちふしょく
一日不食,日,4,いちにちふしょく
一日不食,不,4,いちにちふしょく
一日不食,食,9,いちにちふしょく
一時流行,一,1,いちじりゅうこう
一時流行,時,10,いちじりゅうこう
一時流行,流,10,いちじりゅうこう
一時流行,行,6,いちじりゅうこう
一入再入,一,1,いちじゅうさいじゅう
一入再入,入,2,いちじゅうさいじゅう
一入再入,再,6,いちじゅうさいじゅう
一入再入,入,2,いちじゅうさいじゅう
一日之長,一,1,いちじつのちょう
一日之長,日,4,いちじつのちょう
一日之長,之,3,いちじつのちょう
一日之長,長,8,いちじつのちょう
一日三秋,一,1,いちじつさんしゅう
一日三秋,日,4,いちじつさんしゅう
一日三秋,三,3,いちじつさんしゅう
一日三秋,秋,9,いちじつさんしゅう
一字千金,一,1,いちじせんきん
一字千金,字,6,いちじせんきん
一字千金,千,3,いちじせんきん
一字千金,金,8,いちじせんきん
一言芳恩,一,1,いちごんほうおん
一言芳恩,言,7,いちごんほうおん
一言芳恩,芳,7,いちごんほうおん
一言芳恩,恩,10,いちごんほうおん
一元描写,一,1,いちげんびょうしゃ
一元描写,元,4,いちげんびょうしゃ
一元描写,描,11,いちげんびょうしゃ
一元描写,写,5,いちげんびょうしゃ
一行三昧,一,1,いちぎょうざんまい
一行三昧,行,6,いちぎょうざんまい
一行三昧,三,3,いちぎょうざんまい
一行三昧,昧,9,いちぎょうざんまい
一栄一辱,一,1,いちえいいちじょく
一栄一辱,栄,9,いちえいいちじょく
一栄一辱,一,1,いちえいいちじょく
一栄一辱,辱,10,いちえいいちじょく
一韻到底,一,1,いちいんとうてい
一韻到底,韻,19,いちいんとうてい
一韻到底,到,8,いちいんとうてい
